,Constrs,Vars,NZs,presol_time,pConstrs,pVars,pNZs,CVars,IVars,BVars,pCVars,pIVars,pBVars,solved_with,obj_upper_bound,obj_lower_bound,gap,matrix_range_lower,matrix_range_upper,obj_range_lower,obj_range_upper,bounds_range_lower,bounds_range_upper,N,L,T,pot_circuits,formulation,target_gap,threads,walltime,region,co2limit,new_circuits,rel_exp_volume,abs_exp_volume,peak_mem,loading 0,candidates 0,building 0,solving 0,exporting 0
elec_s_500_t1_rGB-IE_Co2L-1H_c2_g0.005_pGTEP_angles,1425,919,3874,0.01,859,680,3055,759,160,160,520,160,160,dual simplex,12080716295.69,12051069360.76,0.002454,0.08,80000.0,1.0,40000000.0,1.0,1000000.0,53,240,1,2.0,angles,0.005,4,21600,GB-IE,40.0,5.0,0.04297651945444943,1.0418411416203115,417.40234399999997,0.6654715538024902,1.9782350063323972,3.443459272384644,1.2033028602600098,1.6174001693725586
elec_s_500_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.005_pGTEP_angles,1898,1221,5269,0.01,1213,955,4337,993,228,228,727,228,228,dual simplex,19461908739.54,19375420770.74,0.004444,0.006,60000.0,1.0,40000000.0,1.0,1000000.0,70,342,1,2.0,angles,0.005,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.004068511860883638,0.15011410168026665,419.574219,0.7090513706207275,2.2755627632141118,2.542759418487549,0.9358360767364502,1.8357410430908203
elec_s_500_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.005_pGTEP_angles,1013,599,2847,0.01,684,479,2378,469,130,130,349,130,130,nan,12927185133.91,12862812123.13,0.00498,0.09,400000.0,1.0,40000000.0,1.0,1000000.0,37,194,1,2.0,angles,0.005,4,21600,CZ-PL-LT-LV-EE,40.0,32.0,0.4106339595816566,9.601124095069633,415.0625,0.8717939853668213,1.922823905944824,3.0006115436553955,1.1167688369750977,1.3045172691345217
elec_s_500_t1_rSE-FI-DK-NO_Co2L-1H_c2_g0.005_pGTEP_angles,1689,1062,4603,0.01,1076,773,3737,862,200,200,573,200,200,dual simplex,16375143212.8,16311710684.31,0.0038740000000000003,0.01,30000.0,1.0,40000000.0,1.0,1000000.0,61,300,1,2.0,angles,0.005,4,21600,SE-FI-DK-NO,40.0,23.0,0.1367991151708077,5.934298899527104,418.046875,0.9254608154296876,2.715759754180908,3.8005428314208975,1.3655259609222412,2.474313974380493
elec_s_500_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.005_pGTEP_angles,1278,774,3579,0.01,854,622,3005,612,162,162,460,162,162,dual simplex,13615346466.15,13549435287.14,0.004841,0.05,30000.0,1.0,40000000.0,0.8,1000000.0,46,243,1,2.0,angles,0.005,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.0560039037440995,2.1792891817331714,426.320312,0.5801756381988525,1.5883920192718506,2.532485246658325,0.9898078441619872,1.0674510002136228
elec_s_500_t1_rDE-NL-LU_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,1641,1179,4233,0.01,770,876,3056,1027,152,152,724,152,152,barrier,28351142597.69,28189418589.35,0.005704,0.08,100000.0,1.0,40000000.0,0.05,1000000.0,93,304,1,1.0,kirchhoff,0.01,4,21600,DE-NL-LU,40.0,29.0,0.0859742863086818,4.558874849798319,418.83984399999997,0.6725091934204102,1.3794441223144531,3.629461050033569,1.2549922466278076,1.7722535133361816
elec_s_500_t1_rFR-BE_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,1658,1098,4288,0.01,847,839,3236,929,169,169,670,169,169,barrier,27129428159.8,27003953513.01,0.004625000000000001,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,93,338,1,1.0,kirchhoff,0.01,4,21600,FR-BE,40.0,25.0,0.08002397488843929,4.221058858305835,417.56640600000003,0.5988531112670898,1.6161994934082031,4.1379644870758066,0.9521598815917968,1.238046169281006
elec_s_500_t1_rES-PT_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,946,637,2383,0.0,455,479,1736,547,90,90,389,90,90,nan,11807090543.34,11807090543.34,0.0,0.04,200000.0,1.0,40000000.0,1.0,1000000.0,47,180,1,1.0,kirchhoff,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,417.18359399999997,0.5849888324737549,0.9902272224426271,2.623342990875244,0.8698143959045409,1.4484913349151611
elec_s_500_t1_rGB-IE_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,970,706,2312,0.01,411,462,1506,626,80,80,382,80,80,nan,12076568894.76,12062538333.17,0.001162,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,53,160,1,1.0,kirchhoff,0.01,4,21600,GB-IE,40.0,3.0,0.02755176347639245,0.667912643421981,420.042969,0.7508168220520021,0.9967367649078368,3.066087007522583,1.0455026626586914,1.6171708106994631
elec_s_500_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,1256,923,3109,0.01,579,662,2207,809,114,114,548,114,114,dual simplex,19461908739.54,19375420770.74,0.004444,0.006,100000.0,1.0,40000000.0,1.0,1000000.0,70,228,1,1.0,kirchhoff,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.004068511860883638,0.15011410168026665,417.92578100000003,0.7297379970550537,1.299025058746338,3.889429807662964,1.1540241241455078,1.92400860786438
elec_s_500_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,652,434,1593,0.01,329,311,1146,368,66,66,245,66,66,nan,13173522279.24,13062425314.96,0.008433000000000001,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,37,130,1,1.0,kirchhoff,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,18.0,0.2661594803271282,6.223134107815656,414.640625,0.5742261409759521,0.6774306297302246,2.1140165328979488,0.7778644561767578,0.9316964149475098
elec_s_500_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,1126,801,2677,0.01,521,488,1812,701,100,100,388,100,100,nan,16755876164.87,16600266419.29,0.009287,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,61,200,1,1.0,kirchhoff,0.01,4,21600,SE-FI-DK-NO,40.0,17.0,0.10033683094619929,4.352577461649616,417.140625,0.7392430305480957,1.1961441040039062,3.5742440223693848,1.174088954925537,1.7185614109039309
elec_s_500_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,826,566,2024,0.0,407,415,1470,485,81,81,334,81,81,nan,13573264753.66,13547344171.78,0.00191,0.05,200000.0,1.0,40000000.0,0.8,1000000.0,46,162,1,1.0,kirchhoff,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,11.0,0.07469545872279387,2.9066367563052595,423.609375,0.6460802555084229,1.0079247951507568,3.1463739871978764,0.9508471488952636,1.0424988269805908
elec_s_500_t1_rDE-NL-LU_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,2401,1483,6429,0.02,1530,1182,5261,1179,304,304,878,304,304,barrier,27563879140.27,27323991364.37,0.008702999999999999,0.08,100000.0,1.0,40000000.0,0.05,1000000.0,93,456,1,2.0,kirchhoff,0.01,4,21600,DE-NL-LU,40.0,59.0,0.1524157839828854,8.082003516924845,420.625,0.6086115837097168,3.053884029388428,5.282684803009033,1.220987319946289,1.8778557777404783
elec_s_500_t1_rFR-BE_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,2503,1436,6524,0.02,1692,1178,5479,1098,338,338,840,338,338,barrier,26855503788.27,26725478045.89,0.004842,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,93,507,1,2.0,kirchhoff,0.01,4,21600,FR-BE,40.0,48.0,0.16049225151949448,8.465553490816138,419.96875,0.64847731590271,3.489575862884521,6.33534049987793,1.3185272216796875,1.6199073791503906
elec_s_500_t1_rES-PT_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1396,817,3642,0.02,905,660,2998,637,180,180,480,180,180,dual simplex,11807090543.34,11807090543.34,0.0,0.04,200000.0,1.0,40000000.0,1.0,1000000.0,47,270,1,2.0,kirchhoff,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,417.42578100000003,0.5966103076934814,1.6795809268951416,3.637053966522217,0.9801082611083984,1.6807036399841309
elec_s_500_t1_rGB-IE_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1370,866,3460,0.01,811,632,2671,706,160,160,472,160,160,barrier,12072730459.05,12051069360.76,0.001794,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,53,240,1,2.0,kirchhoff,0.01,4,21600,GB-IE,40.0,4.0,0.03967877097472793,0.9618967886456319,417.320312,0.6888144016265869,1.5730230808258057,3.296841144561768,0.902355432510376,1.5185692310333252
elec_s_500_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1826,1151,4690,0.01,1149,891,3794,923,228,228,663,228,228,dual simplex,19553465523.32,19375420770.74,0.009106,0.006,100000.0,1.0,40000000.0,1.0,1000000.0,70,342,1,2.0,kirchhoff,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.005950803264850977,0.2195641838893612,418.12109399999997,0.6884384155273438,2.5351150035858154,5.150179862976074,1.3488881587982178,1.9442026615142824
elec_s_500_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,972,562,2489,0.01,649,447,2051,432,130,130,317,130,130,nan,12945621977.56,12855455739.9,0.006965,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,37,194,1,2.0,kirchhoff,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,32.0,0.3897555783809467,9.11296201267293,415.87890600000003,0.6848344802856445,1.3936715126037598,3.4382636547088623,0.8351943492889404,1.1974849700927734
elec_s_500_t1_rSE-FI-DK-NO_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1626,1001,4083,0.01,1021,718,3249,801,200,200,518,200,200,dual simplex,16383520550.04,16304965708.64,0.004795,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,61,300,1,2.0,kirchhoff,0.01,4,21600,SE-FI-DK-NO,40.0,22.0,0.12515320870748117,5.4291034541982155,417.65234399999997,0.8080189228057861,2.672116994857788,4.789631128311157,1.192420482635498,1.7788434028625488
elec_s_500_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1231,728,3160,0.01,812,580,2614,566,162,162,418,162,162,barrier,13678400538.56,13541856525.96,0.009982,0.05,200000.0,1.0,40000000.0,0.8,1000000.0,46,243,1,2.0,kirchhoff,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,10.0,0.07061479535918345,2.747845226999625,415.109375,0.6966285705566406,1.7640333175659182,3.9108796119689937,0.9991803169250488,1.0890138149261477
elec_s_500_t1_rDE-NL-LU_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,1641,1179,4240,0.01,770,876,3063,1027,152,152,724,152,152,dual simplex,28351142597.69,28235188225.85,0.00409,0.08,100000.0,1.0,40000000.0,0.05,1000000.0,93,304,1,1.0,kirchhoff,0.005,4,21600,DE-NL-LU,40.0,29.0,0.0859742863086818,4.558874849798319,417.804688,0.7307124137878418,2.0046949386596684,4.4350409507751465,1.0682699680328371,1.945657730102539
elec_s_500_t1_rFR-BE_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,1658,1098,4238,0.01,847,839,3186,929,169,169,670,169,169,barrier,27129428159.8,27003953513.01,0.004625000000000001,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,93,338,1,1.0,kirchhoff,0.005,4,21600,FR-BE,40.0,25.0,0.08002397488843929,4.221058858305835,417.71484399999997,0.6225762367248535,2.0275928974151607,5.0685951709747314,1.127695083618164,1.3720054626464844
elec_s_500_t1_rES-PT_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,946,637,2398,0.01,455,479,1751,547,90,90,389,90,90,nan,11807090543.34,11807090543.34,0.0,0.04,200000.0,1.0,40000000.0,1.0,1000000.0,47,180,1,1.0,kirchhoff,0.005,4,21600,ES-PT,40.0,0.0,0.0,0.0,415.99609399999997,0.6918084621429443,1.227591037750244,3.7750034332275386,1.156294345855713,1.6194007396697998
elec_s_500_t1_rGB-IE_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,970,706,2326,0.01,411,462,1520,626,80,80,382,80,80,nan,12076568894.76,12062538333.17,0.001162,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,53,160,1,1.0,kirchhoff,0.005,4,21600,GB-IE,40.0,3.0,0.02755176347639245,0.667912643421981,416.69140600000003,0.6317460536956787,0.8249459266662598,3.0736641883850098,0.9036900997161864,1.4851772785186768
elec_s_500_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,1256,923,3078,0.01,579,662,2176,809,114,114,548,114,114,dual simplex,19449438235.46,19375420770.74,0.003806,0.006,100000.0,1.0,40000000.0,1.0,1000000.0,70,228,1,1.0,kirchhoff,0.005,4,21600,IT-CH-AT-LI-SI,40.0,2.0,0.010019315125734616,0.36967828556962784,417.08203100000003,0.702134370803833,1.3908615112304688,3.8813631534576416,1.0778052806854248,1.7785606384277344
elec_s_500_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,652,434,1593,0.0,329,311,1146,368,66,66,245,66,66,nan,13156624617.96,13107416096.48,0.00374,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,37,130,1,1.0,kirchhoff,0.005,4,21600,CZ-PL-LT-LV-EE,40.0,15.0,0.21065682951656897,4.925414263649847,414.95703100000003,0.7299175262451172,0.8862957954406738,3.543311357498169,0.8981914520263672,1.1506731510162354
elec_s_500_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,1126,801,2691,0.01,521,488,1826,701,100,100,388,100,100,nan,16689852753.34,16621051468.57,0.004122,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,61,200,1,1.0,kirchhoff,0.005,4,21600,SE-FI-DK-NO,40.0,20.0,0.11799815225759626,5.118719548837494,416.773438,0.7787673473358154,1.3662254810333252,3.4074745178222656,1.4565215110778809,1.5743112564086914
elec_s_500_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,826,566,2026,0.01,407,415,1472,485,81,81,334,81,81,nan,13573264753.66,13547344171.78,0.00191,0.05,200000.0,1.0,40000000.0,0.8,1000000.0,46,162,1,1.0,kirchhoff,0.005,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,11.0,0.07469545872279387,2.9066367563052595,415.382812,0.6700143814086914,1.0677247047424316,3.325817108154297,1.0249159336090088,1.0900855064392092
elec_s_500_t1_rDE-NL-LU_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,2401,1483,6380,0.02,1530,1182,5212,1179,304,304,878,304,304,dual simplex,27486758579.15,27353960565.01,0.004830999999999999,0.08,100000.0,1.0,40000000.0,0.05,1000000.0,93,456,1,2.0,kirchhoff,0.005,4,21600,DE-NL-LU,40.0,58.0,0.15652310282713236,8.299798317941404,420.566406,0.8299994468688965,3.5109241008758545,6.201496839523315,1.4950618743896484,2.376244068145752
elec_s_500_t1_rFR-BE_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,2503,1436,6519,0.02,1692,1178,5474,1098,338,338,840,338,338,barrier,26855503788.27,26725478045.89,0.004842,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,93,507,1,2.0,kirchhoff,0.005,4,21600,FR-BE,40.0,48.0,0.16049225151949448,8.465553490816138,420.894531,0.5993661880493164,3.0723843574523926,5.575862407684326,1.2841956615447998,1.5789642333984375
elec_s_500_t1_rES-PT_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,1396,817,3672,0.01,905,660,3028,637,180,180,480,180,180,barrier,11807090543.34,11807090543.34,0.0,0.04,200000.0,1.0,40000000.0,1.0,1000000.0,47,270,1,2.0,kirchhoff,0.005,4,21600,ES-PT,40.0,0.0,0.0,0.0,417.398438,0.6982085704803467,1.942013502120972,4.222322463989259,1.0163846015930176,1.862475872039795
elec_s_500_t1_rGB-IE_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,1370,866,3489,0.01,811,632,2700,706,160,160,472,160,160,barrier,12078403157.45,12051069360.76,0.002263,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,53,240,1,2.0,kirchhoff,0.005,4,21600,GB-IE,40.0,5.0,0.045836124057034515,1.111163966305955,417.80078100000003,0.6877150535583496,1.7349979877471924,4.241279602050781,1.008649826049805,1.6952571868896484
elec_s_500_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,1826,1151,4690,0.01,1149,891,3794,923,228,228,663,228,228,dual simplex,19465294962.61,19384800029.55,0.004135,0.006,100000.0,1.0,40000000.0,1.0,1000000.0,70,342,1,2.0,kirchhoff,0.005,4,21600,IT-CH-AT-LI-SI,40.0,2.0,0.007772087168721133,0.2867632990653012,418.585938,0.6907174587249756,2.6292684078216557,5.589155912399292,1.4062113761901855,2.0618038177490234
elec_s_500_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,972,562,2489,0.02,649,447,2051,432,130,130,317,130,130,nan,12928607566.92,12865285949.69,0.0048980000000000004,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,37,194,1,2.0,kirchhoff,0.005,4,21600,CZ-PL-LT-LV-EE,40.0,31.0,0.39922762637062503,9.334430077019109,415.33984399999997,0.7587044239044191,1.60451078414917,3.850701570510864,1.3491318225860596,1.497739315032959
elec_s_500_t1_rSE-FI-DK-NO_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,1626,1001,4086,0.01,1021,718,3252,801,200,200,518,200,200,dual simplex,16356151191.63,16311492944.7,0.0027300000000000002,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,61,300,1,2.0,kirchhoff,0.005,4,21600,SE-FI-DK-NO,40.0,22.0,0.1292095522081056,5.605066250023347,417.507812,0.650259256362915,2.4452781677246094,5.200144529342651,1.2259540557861328,1.895275354385376
elec_s_500_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.005_pGTEP_kirchhoff,1231,728,3160,0.01,812,580,2614,566,162,162,418,162,162,dual simplex,13595524363.06,13549446051.57,0.0033889999999999997,0.05,200000.0,1.0,40000000.0,0.8,1000000.0,46,243,1,2.0,kirchhoff,0.005,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,10.0,0.0698884495353655,2.7195808116603586,415.91796899999997,0.6828453540802002,1.8737356662750244,4.239370107650757,1.0448386669158936,1.106714963912964
elec_s_500_t5_rDE-NL-LU_Co2L-1H_c1_g0.01_pGTEP_angles,8667,4600,22557,0.03,5377,4250,18783,4448,152,152,4098,152,152,barrier,32919208362.42,32729715048.02,0.005756,0.002,200000.0,1.0,40000000.0,0.03,1000000.0,93,304,5,1.0,angles,0.01,4,21600,DE-NL-LU,40.0,30.0,0.09081887319813489,4.815764046280781,460.382812,0.5393321514129639,1.3465540409088137,2.462187528610229,3.111886739730835,1.6988544464111328
elec_s_500_t5_rFR-BE_Co2L-1H_c1_g0.01_pGTEP_angles,8752,4331,22704,0.03,5307,3756,18570,4162,169,169,3587,169,169,barrier,31500398895.71,31205554757.93,0.00936,0.001,60000.0,1.0,40000000.0,0.8,1000000.0,93,338,5,1.0,angles,0.01,4,21600,FR-BE,40.0,56.0,0.19320320806602936,10.190972317947598,433.71875,0.5908279418945312,1.7133774757385254,2.92455792427063,3.1488020420074463,1.321225643157959
elec_s_500_t5_rES-PT_Co2L-1H_c1_g0.01_pGTEP_angles,4967,2432,12863,0.02,3068,2218,10686,2342,90,90,2128,90,90,dual simplex,16538203483.78,16495520240.61,0.002581,0.0002,50000.0,1.0,40000000.0,1.0,1000000.0,47,180,5,1.0,angles,0.01,4,21600,ES-PT,40.0,8.0,0.03139321426911277,1.7414453029458503,437.117188,0.616591215133667,0.9117758274078368,2.212998390197754,1.8135340213775637,1.54022479057312
elec_s_500_t5_rGB-IE_Co2L-1H_c1_g0.01_pGTEP_angles,5117,2659,12743,0.03,2985,2322,10180,2579,80,80,2242,80,80,barrier,17221136357.89,17212461470.3,0.000504,0.002,80000.0,1.0,40000000.0,1.0,1000000.0,53,160,5,1.0,angles,0.01,4,21600,GB-IE,40.0,6.0,0.0475456817598572,1.1526072374545724,438.851562,0.6525118350982666,0.8435854911804199,2.268559455871582,1.8020753860473635,1.5816407203674316
elec_s_500_t5_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.01_pGTEP_angles,6632,3597,17007,0.02,3923,3157,13780,3483,114,114,3043,114,114,barrier,35492610961.87,35143096007.65,0.009848,0.002,60000.0,1.0,40000000.0,1.0,1000000.0,70,228,5,1.0,angles,0.01,4,21600,IT-CH-AT-LI-SI,40.0,54.0,0.27886869358194,10.289296149356794,535.375,0.8283298015594482,1.4045143127441406,2.8483166694641118,318.89026451110834,1.5691657066345217
elec_s_500_t5_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.01_pGTEP_angles,3457,1699,9038,0.01,2228,1600,7656,1633,66,66,1534,66,66,dual simplex,14521609504.55,14485443363.72,0.0024909999999999997,5e-05,300000.0,1.0,40000000.0,1.0,1000000.0,37,130,5,1.0,angles,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,13.0,0.1601696552887398,3.744962394874494,420.71875,0.7411925792694092,0.754770040512085,1.8092937469482424,1.077042818069458,0.9574596881866456
elec_s_500_t5_rSE-FI-DK-NO_Co2L-1H_c1_g0.01_pGTEP_angles,5937,3062,15029,0.02,3581,2726,12288,2962,100,100,2626,100,100,barrier,21445016684.11,21405921520.53,0.001823,0.002,30000.0,1.0,40000000.0,1.0,1000000.0,61,200,5,1.0,angles,0.01,4,21600,SE-FI-DK-NO,40.0,10.0,0.05506112405876084,2.3885327584220852,478.5,0.6362888813018799,1.021475315093994,2.33584976196289,2.0748271942138667,1.6409249305725098
elec_s_500_t5_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.01_pGTEP_angles,4357,2220,11269,0.01,2655,1971,9264,2139,81,81,1890,81,81,barrier,17974813150.19,17947896840.76,0.001497,8e-05,30000.0,1.0,40000000.0,0.4,1000000.0,46,162,5,1.0,angles,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,9.0,0.07978761700083653,3.1047887547394857,421.546875,0.6495294570922852,0.843942403793335,1.8122966289520264,1.5942988395690918,1.074894905090332
elec_s_500_t5_rDE-NL-LU_Co2L-1H_c2_g0.01_pGTEP_angles,11859,5512,33501,0.04,8599,5192,29852,5208,304,304,4888,304,304,barrier,32339043373.77,32087088047.65,0.007791,0.002,200000.0,1.0,40000000.0,0.03,1000000.0,93,456,5,2.0,angles,0.01,4,21600,DE-NL-LU,40.0,56.0,0.1592627085776986,8.44506872716326,456.253906,0.7134056091308594,2.6274962425231934,3.1880097389221187,4.222797155380248,2.033416271209717
elec_s_500_t5_rFR-BE_Co2L-1H_c2_g0.01_pGTEP_angles,12301,5345,34872,0.05,8881,4795,30838,5007,338,338,4457,338,338,barrier,30846539897.44,30570851140.17,0.008937,0.001,60000.0,1.0,40000000.0,0.8,1000000.0,93,507,5,2.0,angles,0.01,4,21600,FR-BE,40.0,84.0,0.28858802734481814,15.222276210636362,590.0351559999999,0.7466070652008057,3.656324625015259,4.472782850265503,117.43580627441406,1.641445875167847
elec_s_500_t5_rES-PT_Co2L-1H_c2_g0.01_pGTEP_angles,6857,2972,19343,0.03,4963,2763,17151,2792,180,180,2583,180,180,barrier,16489576613.29,16461234577.42,0.001719,0.0002,50000.0,1.0,40000000.0,1.0,1000000.0,47,270,5,2.0,angles,0.01,4,21600,ES-PT,40.0,8.0,0.03727366151000463,2.067645644812323,479.746094,0.6990618705749512,2.0327377319335938,3.15454649925232,7.809779167175293,1.611037015914917
elec_s_500_t5_rGB-IE_Co2L-1H_c2_g0.01_pGTEP_angles,6797,3139,18503,0.03,4685,2825,16023,2979,160,160,2665,160,160,dual simplex,17206274090.04,17199058219.85,0.000419,0.002,80000.0,1.0,40000000.0,1.0,1000000.0,53,240,5,2.0,angles,0.01,4,21600,GB-IE,40.0,8.0,0.061680089330867355,1.495254978752371,430.355469,0.7175652980804443,1.9441208839416504,2.9910428524017334,2.0440022945404053,1.7340428829193115
elec_s_500_t5_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.01_pGTEP_angles,9026,4281,25215,0.04,6327,3851,22003,4053,228,228,3623,228,228,barrier,34370734359.86,34116323052.4,0.007402,0.002,60000.0,1.0,40000000.0,1.0,1000000.0,70,342,5,2.0,angles,0.01,4,21600,IT-CH-AT-LI-SI,40.0,66.0,0.36445393971745416,13.44709752244333,523.125,0.6433660984039307,2.247640609741211,3.316035509109497,16.391555309295654,2.051278591156006
elec_s_500_t5_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.01_pGTEP_angles,4801,2083,13646,0.02,3572,1984,12224,1953,130,130,1854,130,130,dual simplex,14362002956.5,14261312167.95,0.007011,5e-05,400000.0,1.0,40000000.0,1.0,1000000.0,37,194,5,2.0,angles,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,26.0,0.31285051882095727,7.31482768124448,423.40625,0.6285643577575684,1.2664930820465088,2.219334602355957,1.498934984207153,1.032698392868042
elec_s_500_t5_rSE-FI-DK-NO_Co2L-1H_c2_g0.01_pGTEP_angles,8037,3662,22229,0.05,5681,3326,19448,3462,200,200,3126,200,200,barrier,21388627120.61,21337298413.98,0.0024,0.002,30000.0,1.0,40000000.0,1.0,1000000.0,61,300,5,2.0,angles,0.01,4,21600,SE-FI-DK-NO,40.0,13.0,0.07237328451471774,3.139528366938601,432.078125,0.7052817344665527,2.31920862197876,3.7631044387817374,2.7616608142852783,2.048348903656006
elec_s_500_t5_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.01_pGTEP_angles,6058,2706,17101,0.02,4361,2463,15092,2544,162,162,2301,162,162,dual simplex,17973653384.89,17913749428.79,0.003333,8e-05,30000.0,1.0,40000000.0,0.4,1000000.0,46,243,5,2.0,angles,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,9.0,0.06899982084044386,2.685001456080625,426.191406,0.6817061901092529,1.827911615371704,2.4588961601257324,1.7803621292114258,1.0777380466461182
elec_s_500_t5_rDE-NL-LU_Co2L-1H_c1_g0.005_pGTEP_angles,8667,4600,22557,0.04,5377,4250,18783,4448,152,152,4098,152,152,barrier,32915803377.82,32753462622.6,0.004932000000000001,0.002,200000.0,1.0,40000000.0,0.03,1000000.0,93,304,5,1.0,angles,0.005,4,21600,DE-NL-LU,40.0,26.0,0.08051463330309734,4.269371140672776,435.203125,0.6018309593200684,1.6755433082580566,3.2584421634674072,4.2297348976135245,1.9200584888458248
elec_s_500_t5_rFR-BE_Co2L-1H_c1_g0.005_pGTEP_angles,8752,4331,22704,0.06,5307,3756,18570,4162,169,169,3587,169,169,barrier,31411957661.17,31259425157.35,0.004856,0.001,60000.0,1.0,40000000.0,0.8,1000000.0,93,338,5,1.0,angles,0.005,4,21600,FR-BE,40.0,54.0,0.19504924730511497,10.28834613990265,550.953125,0.8833675384521484,1.97374963760376,3.5553512573242188,52.45010280609131,1.3490240573883057
